sent|ortho|SAMPA
shd653|El NIÑO DUERME TODA la NOCHE con LUZ|e l n i J o d u e r m e t o d a l a n o tS e k o n l u T
shd654|Las NUBES ALTAS FLOTAN en el CIELO AZUL|l a s n u b e s a l t a s f l o t a n e n e l T i e l o a T u l
shd655|ENVIÓ al POBRE CHICO en una MISIÓN LARGA|e m b i o a l p o b r e tS i k o e n u n a m i s i o n l a r g a
shd656|QUIERE GANAR un BUEN PREMIO en la FIESTA|k i e r e g a n a r u n b u e n p r e m i o e n l a f i e s t a
shd657|Las BASES de las COPAS ALTAS ESTÁN ROTAS|l a s b a s e s d e l a s k o p a s a l t a s e s t a n rr o t a s
shd658|El RAYO LANZÓ una CHISPA y ARDIÓ el MONTE|e l rr a jj o l a n T o u n a tS i s p a i a r d i o e l m o n t e
shd659|Un BUQUE de GUERRA SIGUIÓ al BARCO hasta el PUERTO|u n b u k e d e g e rr a s i g i o a l b a r k o a s t a e l p u e r t o
shd660|El CHICO COMPRÓ la JOYA CARA a su MUJER|e l tS i k o k o m p r o l a x o jj a k a r a a s u m u x e r
shd661|FIJÓ sus METAS PRONTO y SIGUIÓ hasta el FINAL|f i x o s u s m e t a s p r o n t o i s i g i o a s t a e l f i n a l
shd662|DALE al BARRO la FORMA de un VASO LARGO|d a l e a l b a rr o l a f o r m a d e u n b a s o l a r g o
shd663|PONEN SIETE SELLOS en CADA HOJA|p o n e n s i e t e s e L o s e n k a d a o x a
shd664|Un CORDÓN DURO ATA MEJOR las BOTAS|u n k o r d o n d u r o a t a m e x o r l a s b o t a s
shd665|Es MUY CRUEL TENER que LUCHAR en la GUERRA|e s m u i k r u e l t e n e r k e l u tS a r e n l a g e rr a
shd666|La MOSCA SUBIÓ a lo LARGO de la PARED BLANCA|l a m o s k a s u b i o a l o l a r g o d e l a p a r e d b l a n k a
shd667|Un BONO CUESTA CINCO EUROS los LUNES|u n b o n o k u e s t a T i n k o e u r o s l o s l u n e s
shd668|LLEVA QUINCE DÍAS en CAMA con FIEBRE|L e b a k i n T e d i a s e n k a m a k o n f i e b r e
shd669|Su HIJO BATIÓ la MARCA de SALTO en PISTA|s u i x o b a t i o l a m a r k a d e s a l t o e n p i s t a
shd670|CIERRA la PUERTA con LLAVE para que NO ENTREN|T i e rr a l a p u e r t a k o n L a b e p a r a k e n o e n t r e n
shd671|El FIN del JUEGO es CREAR un GRAN FONDO|e l f i n d e l x u e g o e s k r e a r u n g r a n f o n d o
shd672|El DUEÑO CEDIÓ la PISTA de HIELO al GRUPO|e l d u e J o T e d i o l a p i s t a d e jj e l o a l g r u p o
shd673|ÉSTE es un BUEN MES para ANDAR por el MONTE|e s t e e s u n b u e n m e s p a r a a n d a r p o r e l m o n t e
shd674|HABLAR con GRACIA SIRVE para GUSTAR a la GENTE|a b l a r k o n g r a T i a s i r b e p a r a g u s t a r a l a x e n t e
shd675|El JOVEN HOMBRE COMIÓ un BUEN MENÚ|e l x o b e n o m b r e k o m i o u n b u e n m e n u
shd676|La BALDA ESTÁ LLENA de PASTA y ARROZ|l a b a l d a e s t a L e n a d e p a s t a i a rr o T
shd677|El CHICO LLEGÓ ALLÍ al SALIR el SOL|e l tS i k o L e g o a L i a l s a l i r e l s o l
shd678|El MAPA TENÍA una X que SERVÍA de POCO|e l m a p a t e n i a u n a e k i s k e s e r b i a d e p o k o
shd679|CORTA con el HACHA TODOS los OLMOS SECOS|k o r t a k o n e l a tS a t o d o s l o s o l m o s s e k o s
shd680|CAVÓ en la TIERRA en BUSCA de ORO y PLATA|k a b o e n l a t i e rr a e n b u s k a d e o r o i p l a t a
shd681|El RÍO PASA a TRAVÉS del CAMPO de TRIGO|e l rr i o p a s a a t r a b e s d e l k a m p o d e t r i g o
shd682|Las NIÑAS HABLAN sobre la GRAN NORIA de la FERIA|l a s n i J a s a b l a n s o b r e l a g r a n n o r i a d e l a f e r i a
shd683|La MESA de CAFÉ ESTÁ MUY ALTA|l a m e s a d e k a f e e s t a m u i a l t a
shd684|La LEY se HIZO HACE TRES MESES|l a l e i s e i T o a T e t r e s m e s e s
shd685|PUEDE LEER las FRASES en VOZ ALTA|p u e d e l e e r l a s f r a s e s e n b o T a l t a
shd686|El JUEZ MANDÓ a PRISIÓN al LADRÓN de BANCOS|e l x u e T m a n d o a p r i s i o n a l l a d r o n d e b a n k o s
shd687|La CUERDA que ATA al BURRO se ha ROTO del TIRÓN|l a k u e r d a k e a t a a l b u rr o s e a rr o t o d e l t i r o n
shd688|Un POTRO JOVEN BEBE AGUA de un CUBO|u n p o t r o x o b e n b e b e a g u a d e u n k u b o
shd689|El SALTO FINAL del CHICO fue PEOR que el OTRO|e l s a l t o f i n a l d e l tS i k o f u e p e o r k e e l o t r o
shd690|La QUIEBRA del BANCO fue un DURO GOLPE para los DUEÑOS|l a k i e b r a d e l b a n k o f u e u n d u r o g o l p e p a r a l o s d u e J o s
shd691|El NUEVO REY es el MÁS JOVEN del PAÍS|e l n u e b o rr e i e s e l m a s x o b e n d e l p a i s
shd692|El PERRO GRANDE TIRÓ de la CUERDA con FUERZA|e l p e rr o g r a n d e t i r o d e l a k u e r d a k o n f u e r T a
shd693|Las COLES CRECEN PRONTO en un CAMPO FÉRTIL|l a s k o l e s k r e T e n p r o n t o e n u n k a m p o f e r t i l
shd694|El SABOR del QUESO de CABRA es MEJOR con los AÑOS|e l s a b o r d e l k e s o d e k a b r a e s m e x o r k o n l o s a J o s
shd695|El PERRO de CAZA se METIÓ bajo el TOLDO de LONA|e l p e rr o d e k a T a s e m e t i o b a x o e l t o l d o d e l o n a
shd696|ESTA PISTA LARGA fue HECHA para ANDAR|e s t a p i s t a l a r g a f u e e tS a p a r a a n d a r
shd697|QUITA DIEZ HOJAS de ESE LIBRO|k i t a d i e T o x a s d e e s e l i b r o
shd698|El TUBO se CAYÓ y PINCHÓ la LLANTA del COCHE|e l t u b o s e k a jj o i p i n tS o l a L a n t a d e l k o tS e
shd699|El RUMOR SEMBRÓ la DUDA en los MIEMBROS de la JUNTA|e l rr u m o r s e m b r o l a d u d a e n l o s m i e m b r o s d e l a x u n t a
shd700|ELLA BAILA SUAVE, IGUAL que un CISNE|e L a b a i l a s u a b e i g u a l k e u n T i s n e
